date,total_clones,unique_clones
2022-08-17,3,3
2022-08-18,1,1
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,11,7
2022-08-26,3,2
2022-08-27,5,3
2022-08-28,4,3
2022-08-29,3,2
2022-08-30,5,4
2022-08-31,4,3
2022-09-01,1,1
2022-09-02,1,1
2022-09-03,1,1
2022-09-04,1,1
2022-09-05,1,1
2022-09-06,8,6
2022-09-07,2,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,3,3
2022-09-13,2,2
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,3,3
2022-09-17,3,3
2022-09-18,3,3
2022-09-19,7,6
2022-09-20,2,2
2022-09-21,2,2
2022-09-22,2,2
2022-09-23,3,3
2022-09-24,2,2
2022-09-25,0,0
