date,total_views,unique_views
2022-08-17,20,3
2022-08-18,0,0
2022-08-19,2,1
2022-08-20,3,1
2022-08-21,1,1
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,16,1
2022-08-26,0,0
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,0,0
2022-08-30,4,3
2022-08-31,0,0
2022-09-01,5,1
2022-09-02,4,1
2022-09-03,1,1
2022-09-04,8,1
2022-09-05,2,1
2022-09-06,3,1
2022-09-07,8,2
2022-09-08,0,0
2022-09-09,7,1
2022-09-10,6,2
2022-09-11,1,1
2022-09-12,0,0
2022-09-13,0,0
2022-09-14,0,0
2022-09-15,6,1
2022-09-16,1,1
2022-09-17,0,0
2022-09-18,1,1
2022-09-19,38,6
2022-09-20,46,3
2022-09-21,3,1
2022-09-22,5,4
2022-09-23,0,0
2022-09-24,6,1
2022-09-25,0,0
2022-09-26,0,0
2022-09-27,1,1
2022-09-28,10,2
2022-09-29,1,1
2022-09-30,1,1
2022-10-01,6,2
2022-10-02,18,3
2022-10-03,112,3
2022-10-04,19,4
2022-10-05,39,2
2022-10-06,22,4
2022-10-07,18,3
2022-10-08,5,1
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,2,1
2022-10-12,4,2
2022-10-13,3,1
2022-10-14,0,0
2022-10-15,2,1
2022-10-16,3,1
2022-10-17,3,1
2022-10-18,9,2
2022-10-19,0,0
2022-10-20,0,0
