run,evaluations,avg_fitness,best_fitness
0,500,-99934000.0,-95000000.0
0,750,-99898000.0,-93000000.0
0,1000,-99868000.0,-93000000.0
0,1250,-99624000.0,-38000000.0
0,1500,-99586000.0,-38000000.0
0,1750,-99540000.0,-38000000.0
0,2000,-99490000.0,-38000000.0
0,2250,-99378000.0,-38000000.0
0,2500,-99296000.0,-38000000.0
0,2750,-99214000.0,-38000000.0
0,3000,-99038000.0,-38000000.0
0,3250,-98610000.0,0
0,3500,-98416000.0,0
0,3750,-98186000.0,0
0,4000,-97940000.0,0
0,4250,-97470000.0,0
0,4500,-96970000.0,0
0,4750,-96078000.0,0
0,5000,-94808000.0,0
1,500,-99908000.0,-91000000.0
1,750,-99856000.0,-90000000.0
1,1000,-99818000.0,-89000000.0
1,1250,-99760000.0,-83000000.0
1,1500,-99700000.0,-83000000.0
1,1750,-99616000.0,-83000000.0
1,2000,-99450000.0,-74000000.0
1,2250,-99354000.0,-74000000.0
1,2500,-99202000.0,-62000000.0
1,2750,-99038000.0,-62000000.0
1,3000,-98860000.0,-62000000.0
1,3250,-98692000.0,-62000000.0
1,3500,-98420000.0,-62000000.0
1,3750,-98204000.0,-62000000.0
1,4000,-97812000.0,-43999999.99999999
1,4250,-97338000.0,-43999999.99999999
1,4500,-96772000.0,-43999999.99999999
1,4750,-95998000.0,0
1,5000,-95154000.0,0
2,500,-99918000.0,-91000000.0
2,750,-99874000.0,-91000000.0
2,1000,-99728000.0,-57000000.00000001
2,1250,-99688000.0,-57000000.00000001
2,1500,-99612000.0,-57000000.00000001
2,1750,-99558000.0,-57000000.00000001
2,2000,-99440000.0,-57000000.00000001
2,2250,-99404000.0,-57000000.00000001
2,2500,-99346000.0,-57000000.00000001
2,2750,-99166000.0,-57000000.00000001
2,3000,-99046000.0,-57000000.00000001
2,3250,-98748000.0,-57000000.00000001
2,3500,-98582000.0,-57000000.00000001
2,3750,-98236000.0,-57000000.00000001
2,4000,-97702000.0,-57000000.00000001
2,4250,-97200000.0,-57000000.00000001
2,4500,-96490000.0,-57000000.00000001
2,4750,-95650000.0,-57000000.00000001
2,5000,-94358000.0,-54000000.0
3,500,-99918000.0,-93000000.0
3,750,-99888000.0,-93000000.0
3,1000,-99820000.0,-93000000.0
3,1250,-99806000.0,-93000000.0
3,1500,-99754000.0,-93000000.0
3,1750,-99686000.0,-84000000.0
3,2000,-99652000.0,-84000000.0
3,2250,-99566000.0,-81000000.0
3,2500,-99488000.0,-81000000.0
3,2750,-99350000.0,-79000000.0
3,3000,-99232000.0,-79000000.0
3,3250,-99024000.0,-79000000.0
3,3500,-98834000.0,-79000000.0
3,3750,-98476000.0,-72000000.0
3,4000,-98184000.0,-72000000.0
3,4250,-97728000.0,-72000000.0
3,4500,-96998000.0,-29999999.999999993
3,4750,-96218000.0,-29999999.999999993
3,5000,-95322000.0,-29999999.999999993
4,500,-99896000.0,-84000000.0
4,750,-99840000.0,-84000000.0
4,1000,-99806000.0,-84000000.0
4,1250,-99732000.0,-80000000.0
4,1500,-99584000.0,-41000000.0
4,1750,-99520000.0,-41000000.0
4,2000,-99472000.0,-41000000.0
4,2250,-99420000.0,-41000000.0
4,2500,-99314000.0,-41000000.0
4,2750,-99246000.0,-41000000.0
4,3000,-99170000.0,-41000000.0
4,3250,-99066000.0,-41000000.0
4,3500,-98910000.0,-41000000.0
4,3750,-98606000.0,-41000000.0
4,4000,-98342000.0,-41000000.0
4,4250,-98046000.0,-41000000.0
4,4500,-97596000.0,-41000000.0
4,4750,-96888000.0,-41000000.0
4,5000,-95882000.0,0
5,500,-99894000.0,-83000000.0
5,750,-99864000.0,-83000000.0
5,1000,-99766000.0,-70000000.0
5,1250,-99728000.0,-70000000.0
5,1500,-99646000.0,-70000000.0
5,1750,-99592000.0,-70000000.0
5,2000,-99522000.0,-70000000.0
5,2250,-99308000.0,-60000000.0
5,2500,-99168000.0,-60000000.0
5,2750,-99050000.0,-60000000.0
5,3000,-98898000.0,-60000000.0
5,3250,-98738000.0,-60000000.0
5,3500,-98480000.0,-60000000.0
5,3750,-98168000.0,-60000000.0
5,4000,-97800000.0,-60000000.0
5,4250,-97200000.0,-60000000.0
5,4500,-96370000.0,-60000000.0
5,4750,-95502000.0,-60000000.0
5,5000,-94520000.0,-60000000.0
6,500,-99966000.0,-96000000.0
6,750,-99948000.0,-96000000.0
6,1000,-99896000.0,-94000000.0
6,1250,-99842000.0,-94000000.0
6,1500,-99818000.0,-94000000.0
6,1750,-99778000.0,-94000000.0
6,2000,-99694000.0,-91000000.0
6,2250,-99636000.0,-91000000.0
6,2500,-99560000.0,-91000000.0
6,2750,-99412000.0,-83000000.0
6,3000,-99304000.0,-83000000.0
6,3250,-99100000.0,-72000000.0
6,3500,-98970000.0,-72000000.0
6,3750,-98556000.0,-68000000.0
6,4000,-98248000.0,-68000000.0
6,4250,-97884000.0,-68000000.0
6,4500,-97482000.0,-68000000.0
6,4750,-96780000.0,-68000000.0
6,5000,-96060000.0,-47000000.0
7,500,-99840000.0,-84000000.0
