evaluations,avg_fitness,best_fitness
500,-99903066.66666667,-86500000.0
750,-99860133.33333333,-84566666.66666667
1000,-99792866.66666667,-74066666.66666667
1250,-99736266.66666667,-71766666.66666667
1500,-99669466.66666667,-68633333.33333333
1750,-99598133.33333333,-67266666.66666667
2000,-99502466.66666667,-66833333.333333336
2250,-99392400.0,-64000000.0
2500,-99275933.33333333,-62066666.666666664
2750,-99134500.0,-61050000.0
3000,-98966566.66666667,-57683333.333333336
3250,-98748300.0,-53983333.333333336
3500,-98476300.0,-51183333.333333336
3750,-98105366.66666667,-46450000.0
4000,-97668700.0,-41616666.666666664
4250,-97104966.66666667,-37133333.333333336
4500,-96399966.66666667,-28300000.0
4750,-95490100.0,-22216666.666666668
5000,-94439300.0,-14050000.0
