run,evaluations,avg_fitness,best_fitness
0,500,-99912000.0,-85000000.0
0,750,-99892000.0,-85000000.0
0,1000,-99846000.0,-85000000.0
0,1250,-99530000.0,-23000000.0
0,1500,-99422000.0,-23000000.0
0,1750,-99202000.0,-23000000.0
0,2000,-98932000.0,-23000000.0
0,2250,-98624000.0,-23000000.0
0,2500,-98226000.0,-23000000.0
0,2750,-97730000.0,-23000000.0
0,3000,-96620000.0,0
0,3250,-95774000.0,0
0,3500,-94974000.0,0
0,3750,-93932000.0,0
0,4000,-92850000.0,0
0,4250,-91228000.0,0
0,4500,-89938000.0,0
0,4750,-88766000.0,0
0,5000,-87432000.0,0
1,500,-99924000.0,-85000000.0
1,750,-99906000.0,-85000000.0
1,1000,-99858000.0,-85000000.0
1,1250,-99760000.0,-85000000.0
1,1500,-99582000.0,-85000000.0
1,1750,-99336000.0,-85000000.0
1,2000,-99116000.0,-85000000.0
1,2250,-98792000.0,-85000000.0
1,2500,-98368000.0,-85000000.0
1,2750,-97790000.0,-82000000.0
1,3000,-97330000.0,-70000000.0
1,3250,-96798000.0,-70000000.0
1,3500,-96148000.0,-70000000.0
1,3750,-95378000.0,-43999999.99999999
1,4000,-94508000.0,-27000000.0
1,4250,-92996000.0,-27000000.0
1,4500,-92076000.0,-27000000.0
1,4750,-90764000.0,-27000000.0
1,5000,-89348000.0,-21999999.999999996
2,500,-99888000.0,-94000000.0
2,750,-99800000.0,-89000000.0
2,1000,-99650000.0,-89000000.0
2,1250,-99462000.0,-88000000.0
2,1500,-99248000.0,-88000000.0
2,1750,-98940000.0,-83000000.0
2,2000,-98574000.0,-83000000.0
2,2250,-97926000.0,-81000000.0
2,2500,-97034000.0,-68000000.0
2,2750,-96506000.0,-56000000.00000001
2,3000,-95282000.0,0
2,3250,-94278000.0,0
2,3500,-93282000.0,0
2,3750,-92040000.0,0
2,4000,-90132000.0,0
2,4250,-88714000.0,1000000
2,4500,-87688000.0,1000000
2,4750,-86922000.0,1000000
2,5000,-85236000.0,1000000
3,500,-99890000.0,-68000000.0
3,750,-99874000.0,-68000000.0
3,1000,-99804000.0,-68000000.0
3,1250,-99714000.0,-68000000.0
3,1500,-99422000.0,-68000000.0
3,1750,-98962000.0,0
3,2000,-98624000.0,0
3,2250,-98296000.0,0
3,2500,-97411000.0,500000
3,2750,-96785000.0,500000
3,3000,-96269000.0,500000
3,3250,-95727000.0,500000
3,3500,-94777000.0,500000
3,3750,-93275000.0,500000
3,4000,-92343000.0,500000
3,4250,-91115000.0,500000
3,4500,-89737000.0,2000000
3,4750,-88451000.0,2000000
3,5000,-86945000.0,2000000
4,500,-99938000.0,-97000000.0
4,750,-99864000.0,-81000000.0
4,1000,-99728000.0,-81000000.0
4,1250,-99566000.0,-81000000.0
4,1500,-99270000.0,-66999999.99999999
4,1750,-99012000.0,-66999999.99999999
4,2000,-98660000.0,-66999999.99999999
4,2250,-98250000.0,-66999999.99999999
4,2500,-97682000.0,-66999999.99999999
4,2750,-96916000.0,0
4,3000,-96268000.0,0
4,3250,-95288000.0,0
4,3500,-93958000.0,0
4,3750,-92930000.0,0
4,4000,-91280000.0,0
4,4250,-89510000.0,0
4,4500,-87324000.0,0
4,4750,-84746000.0,0
4,5000,-82206000.0,1000000
5,500,-99914000.0,-89000000.0
5,750,-99866000.0,-89000000.0
5,1000,-99806000.0,-89000000.0
5,1250,-99670000.0,-89000000.0
5,1500,-99452000.0,-89000000.0
5,1750,-99250000.0,-88000000.0
5,2000,-98962000.0,-79000000.0
5,2250,-98636000.0,-79000000.0
5,2500,-98128000.0,-71000000.0
5,2750,-97666000.0,-71000000.0
5,3000,-97178000.0,-71000000.0
5,3250,-96618000.0,-71000000.0
5,3500,-95746000.0,-65999999.99999999
5,3750,-94598000.0,-29000000.000000004
5,4000,-93842000.0,-29000000.000000004
5,4250,-92452000.0,2000000
5,4500,-91674000.0,2000000
5,4750,-89798000.0,3000000
5,5000,-88634000.0,3000000
6,500,-99940000.0,-91000000.0
6,750,-99772000.0,-57000000.00000001
6,1000,-99614000.0,-57000000.00000001
6,1250,-99478000.0,-57000000.00000001
6,1500,-99278000.0,-57000000.00000001
