evaluations,avg_fitness,best_fitness
500,-99904333.33333333,-85633333.33333333
750,-99847666.66666667,-82700000.0
1000,-99756000.0,-80966666.66666667
1250,-99590400.0,-73133333.33333333
1500,-99370600.0,-69900000.0
1750,-99085933.33333333,-62466666.666666664
2000,-98732466.66666667,-57700000.0
2250,-98307000.0,-51066666.666666664
2500,-97744300.0,-40350000.0
2750,-97098433.33333333,-32016666.666666668
3000,-96432700.0,-22183333.333333332
3250,-95659766.66666667,-19800000.0
3500,-94694600.0,-11583333.333333334
3750,-93601333.33333333,-4250000.0
4000,-92476200.0,-3666666.6666666665
4250,-91145466.66666667,-766666.6666666666
4500,-89816600.0,-700000.0
4750,-88335400.0,-550000.0
5000,-86769633.33333333,966666.6666666667
