run,evaluations,avg_weight,max_weight,avg_material,max_material
0,500,-97408000.0,-20999999.999999996,478.1675878721746,182.32576088686957
0,1000,-95420000.0,0,412.8428214532999,162.64117370886981
0,1500,-93584000.0,0,381.39133692015605,151.8567855452038
0,2000,-91560000.0,0,353.17956770302783,151.8567855452038
0,2500,-89464000.0,0,329.9845103817103,151.00058707403153
0,3000,-87664000.0,0,314.6029030422322,139.9994432895076
0,3500,-84570000.0,0,300.85862447411665,139.9994432895076
0,4000,-81014000.0,0,281.51860764292593,139.9991079286727
0,4500,-77908000.0,0,253.83845750571703,139.9991079286727
0,5000,-74968000.0,0,232.03108824793964,139.99910490717093
1,500,-97299000.0,3500000,483.9288290868523,186.9829775262471
1,1000,-95233000.0,3500000,417.9967428847864,186.9829775262471
1,1500,-93259000.0,3500000,393.4762181019306,184.39615202754885
1,2000,-91203000.0,3500000,364.8377963528317,150.08106606863095
1,2500,-87823000.0,3500000,345.4892193304757,139.9991678044773
1,3000,-84511000.0,3500000,338.2277664931781,139.9991678044773
1,3500,-81035000.0,3500000,317.0420592742877,139.9991678044773
1,4000,-77687000.0,3500000,294.80127110305733,139.9991678044773
1,4500,-74439000.0,3500000,277.21999837321914,139.9991250173062
1,5000,-70815000.0,3500000,263.2096767343794,139.9991250173062
2,500,-97654000.0,-25000000.0,479.33564805969553,210.11762475034178
2,1000,-95918000.0,-25000000.0,419.89374685818774,203.72673839169022
2,1500,-94016000.0,0,393.97253706958026,166.61350329301249
2,2000,-92214000.0,0,366.28361352499047,166.61350329301249
2,2500,-89768000.0,0,346.56551098809757,139.99982634971457
2,3000,-87196000.0,0,327.4200736359277,139.9993060841187
2,3500,-84496000.0,0,312.0596273395217,139.9991890471648
2,4000,-81178000.0,0,286.08967131605243,139.9991890471648
2,4500,-77630000.0,0,275.38743990123197,139.99910180243626
2,5000,-74160000.0,0,261.16997102128727,139.99910180243626
3,500,-97420000.0,-69000000.0,478.36677890247336,187.73310171681888
3,1000,-95336000.0,-69000000.0,419.3964213178384,177.983505865107
3,1500,-93518000.0,-69000000.0,389.22830041310965,177.983505865107
3,2000,-91662000.0,0,362.29126976672694,177.983505865107
3,2500,-89808000.0,0,337.796910026819,139.99932382162496
3,3000,-87514000.0,0,318.24030520052764,139.9992158173308
3,3500,-85434000.0,0,293.0398781502899,139.9991335098206
