run,evaluations,avg_fitness,best_fitness
0,250,-54066000,25000000
0,375,-28174000,25000000
0,500,-4672000,27000000
0,625,5172000,27000000
0,750,7178000,27000000
0,875,8922000,27000000
0,1000,10392000,34000000
0,1125,11724000,34000000
0,1250,12976000,34000000
0,1375,14456000,34000000
0,1500,15814000,34000000
0,1625,16890000,34000000
0,1750,18270000,46500000
0,1875,19104000,46500000
0,2000,19892000,46500000
0,2125,20456000,46500000
0,2250,21216000,46500000
0,2375,22000000,46500000
0,2500,23192000,48000000
0,2625,23800000,48000000
0,2750,24540000,48000000
0,2875,25396000,48000000
0,3000,26262000,48000000
0,3125,26970000,48000000
0,3250,27726000,51000000
0,3375,28094000,51000000
0,3500,28890000,51000000
0,3625,29734000,65500000
0,3750,30322000,65500000
0,3875,30768000,65500000
0,4000,31208000,65500000
0,4125,32014000,65500000
0,4250,32584000,65500000
0,4375,33446000,65500000
0,4500,34204000,65500000
0,4625,34956000,65500000
0,4750,35392000,65500000
0,4875,36172000,65500000
0,5000,36894000,65500000
1,250,-55386000,16500000
1,375,-29002000,19500000
1,500,660000,19500000
1,625,4990000,23500000
1,750,6666000,30000000
1,875,8088000,30000000
1,1000,9494000,34500000
1,1125,10632000,34500000
1,1250,11842000,34500000
1,1375,12956000,34500000
1,1500,14210000,34500000
1,1625,15210000,34500000
1,1750,16744000,40000000
1,1875,17642000,40000000
1,2000,18998000,48500000
1,2125,19752000,48500000
1,2250,21064000,55000000
1,2375,21918000,55000000
1,2500,23468000,55000000
1,2625,24384000,56000000
1,2750,25370000,56000000
1,2875,26374000,56000000
1,3000,27264000,56000000
1,3125,27660000,56000000
1,3250,28490000,56000000
1,3375,29728000,60500000
1,3500,31214000,60500000
1,3625,31978000,60500000
1,3750,33124000,60500000
1,3875,33776000,60500000
1,4000,34752000,60500000
1,4125,36212000,78500000
1,4250,37540000,90500000
1,4375,39204000,90500000
1,4500,40124000,90500000
1,4625,41242000,90500000
1,4750,42112000,90500000
1,4875,42808000,90500000
1,5000,43692000,90500000
2,250,-58564000,20000000
2,375,-34980000,25500000
2,500,-9522000,25500000
2,625,3854000,25500000
2,750,5560000,25500000
2,875,7342000,31500000
2,1000,8854000,31500000
2,1125,9870000,31500000
2,1250,11026000,31500000
2,1375,12532000,31500000
2,1500,13446000,31500000
2,1625,14406000,31500000
2,1750,15460000,31500000
2,1875,16258000,31500000
2,2000,17092000,41000000
2,2125,17810000,41000000
2,2250,18690000,41000000
2,2375,19862000,41000000
2,2500,20370000,41000000
2,2625,21246000,46000000
2,2750,21986000,46000000
2,2875,22872000,46000000
2,3000,23564000,46000000
2,3125,24254000,46000000
2,3250,24776000,49000000
2,3375,25764000,49000000
2,3500,26660000,49000000
2,3625,27584000,58000000
2,3750,28384000,58000000
2,3875,29386000,58000000
2,4000,30116000,58000000
2,4125,31114000,59000000
2,4250,32016000,59000000
2,4375,32558000,59000000
2,4500,33432000,59000000
2,4625,34414000,59000000
2,4750,35288000,59000000
2,4875,35828000,59000000
2,5000,36760000,59000000
3,250,-62758000,24000000
3,375,-39958000,24000000
3,500,-9658000,24000000
3,625,4500000,25500000
3,750,6248000,30500000
3,875,7266000,30500000
3,1000,8790000,30500000
3,1125,10194000,30500000
3,1250,11326000,46500000
3,1375,12782000,46500000
3,1500,14118000,46500000
3,1625,15058000,46500000
3,1750,16056000,46500000
3,1875,16888000,46500000
3,2000,17542000,46500000
3,2125,18156000,46500000
3,2250,18914000,46500000
3,2375,19466000,46500000
3,2500,20120000,46500000
3,2625,20512000,46500000
3,2750,21274000,46500000
3,2875,22234000,46500000
3,3000,23088000,46500000
3,3125,23910000,48000000
3,3250,24798000,50000000
3,3375,25764000,50000000
3,3500,26934000,51500000
3,3625,27658000,51500000
3,3750,28512000,62000000
3,3875,29172000,62000000
3,4000,30000000,64000000
3,4125,30960000,64000000
3,4250,31980000,64000000
3,4375,33068000,69000000
3,4500,33638000,69000000
3,4625,34304000,69000000
3,4750,35370000,69000000
3,4875,36054000,69000000
3,5000,36934000,69000000
4,250,-59830000,24000000
4,375,-29996000,24000000
4,500,-1442000,24000000
4,625,5414000,25500000
4,750,7300000,26500000
4,875,9096000,31000000
4,1000,10518000,31000000
4,1125,11854000,33500000
4,1250,13320000,35500000
4,1375,14346000,35500000
4,1500,15594000,50000000
4,1625,16890000,50000000
4,1750,17800000,50000000
4,1875,18940000,50000000
4,2000,20014000,50000000
4,2125,21132000,50000000
4,2250,21956000,50000000
4,2375,22970000,50000000
4,2500,23770000,50000000
4,2625,24582000,50000000
4,2750,25394000,50000000
4,2875,26204000,50000000
4,3000,27124000,55500000
4,3125,28280000,55500000
4,3250,29042000,55500000
4,3375,29986000,55500000
4,3500,30952000,55500000
4,3625,31610000,55500000
4,3750,32564000,55500000
4,3875,33322000,55500000
4,4000,34334000,55500000
4,4125,35310000,55500000
4,4250,36156000,55500000
4,4375,37136000,65500000
4,4500,38074000,65500000
4,4625,38932000,65500000
4,4750,40196000,78500000
4,4875,41062000,78500000
4,5000,41836000,78500000
5,250,-53826000,22500000
5,375,-27420000,24000000
5,500,1024000,24000000
5,625,5196000,25000000
5,750,7138000,27500000
5,875,8662000,27500000
5,1000,10664000,34000000
5,1125,12800000,43500000
5,1250,14010000,43500000
5,1375,14946000,43500000
5,1500,16158000,43500000
5,1625,17164000,43500000
5,1750,18878000,47000000
5,1875,19898000,47000000
5,2000,21310000,47000000
5,2125,22534000,47000000
5,2250,23940000,47000000
5,2375,24624000,47000000
5,2500,25358000,47000000
5,2625,25900000,47000000
5,2750,26976000,49500000
5,2875,28088000,53000000
5,3000,28898000,53000000
5,3125,29912000,58500000
5,3250,30718000,58500000
5,3375,31288000,58500000
5,3500,31930000,59000000
5,3625,32886000,64000000
5,3750,33834000,64000000
5,3875,34654000,64000000
5,4000,35676000,64000000
5,4125,36664000,64000000
5,4250,37418000,67000000
5,4375,38412000,67000000
5,4500,39132000,67000000
5,4625,39836000,67000000
5,4750,41114000,67500000
5,4875,42092000,69000000
5,5000,42958000,69000000
6,250,-58830000,23000000
6,375,-38738000,23000000
6,500,-11516000,23000000
6,625,1892000,26500000
6,750,5618000,26500000
6,875,7000000,36000000
6,1000,8526000,36000000
6,1125,10090000,36000000
6,1250,11530000,36000000
6,1375,12946000,36000000
6,1500,14156000,37500000
6,1625,15926000,38500000
6,1750,17178000,38500000
6,1875,18336000,41000000
6,2000,19768000,46500000
6,2125,20778000,46500000
6,2250,21594000,46500000
6,2375,22992000,46500000
6,2500,24380000,46500000
6,2625,25138000,46500000
6,2750,26376000,46500000
6,2875,27678000,50000000
6,3000,28792000,50000000
6,3125,29908000,50000000
6,3250,31326000,55500000
6,3375,32756000,55500000
6,3500,33760000,55500000
6,3625,34946000,67000000
6,3750,35758000,67000000
6,3875,36482000,67000000
6,4000,37550000,67000000
6,4125,38150000,67000000
6,4250,39318000,67000000
6,4375,40752000,67000000
6,4500,41626000,67000000
6,4625,42492000,67000000
6,4750,43482000,67000000
6,4875,44696000,69000000
6,5000,45522000,69000000
7,250,-62484000,20000000
7,375,-35042000,22000000
7,500,-10094000,22000000
7,625,4814000,25500000
7,750,6796000,28000000
7,875,8806000,28000000
7,1000,9998000,28000000
7,1125,11306000,34500000
7,1250,12560000,34500000
7,1375,13994000,34500000
7,1500,14942000,40000000
7,1625,16058000,40000000
7,1750,17118000,40000000
7,1875,18574000,40000000
7,2000,19524000,41500000
7,2125,20496000,41500000
7,2250,21578000,45500000
7,2375,22218000,45500000
7,2500,23298000,45500000
7,2625,24240000,45500000
7,2750,25418000,46000000
7,2875,26198000,46000000
7,3000,26832000,46000000
7,3125,27708000,46000000
7,3250,28516000,47500000
7,3375,29326000,47500000
7,3500,30090000,50000000
7,3625,30872000,50000000
7,3750,31712000,55000000
7,3875,32310000,59500000
7,4000,33170000,60000000
7,4125,33726000,60000000
7,4250,34380000,60000000
7,4375,35058000,60000000
7,4500,35704000,60000000
7,4625,36632000,60000000
7,4750,37394000,60000000
7,4875,38394000,66500000
7,5000,39362000,66500000
8,250,-56784000,31000000
8,375,-37270000,31000000
8,500,-11954000,34500000
8,625,2862000,34500000
8,750,5638000,34500000
8,875,7658000,34500000
