run,evaluations,avg_fitness,best_fitness
0,250,-63976000,24500000
0,375,-41948000,24500000
0,500,-15892000,24500000
0,625,4358000,24500000
0,750,5804000,24500000
0,875,7292000,24500000
0,1000,8632000,24500000
0,1125,9542000,25000000
0,1250,10400000,25000000
0,1375,11108000,25000000
0,1500,11894000,29000000
0,1625,12620000,29000000
0,1750,13348000,33500000
0,1875,14576000,37500000
0,2000,15220000,37500000
0,2125,15844000,37500000
0,2250,16618000,50000000
0,2375,17572000,50000000
0,2500,18406000,50000000
0,2625,18950000,50000000
0,2750,19670000,50000000
0,2875,20368000,50000000
0,3000,21052000,51500000
0,3125,21448000,51500000
0,3250,22188000,51500000
0,3375,22886000,51500000
0,3500,23468000,51500000
0,3625,24116000,51500000
0,3750,24894000,51500000
0,3875,25352000,51500000
0,4000,25988000,51500000
0,4125,26784000,51500000
0,4250,27328000,51500000
0,4375,28102000,51500000
0,4500,28738000,51500000
0,4625,29796000,51500000
0,4750,30548000,66500000
0,4875,31290000,66500000
0,5000,31938000,66500000
1,250,-56466000,22000000
1,375,-28348000,22000000
1,500,644000,23500000
1,625,4858000,31000000
1,750,7130000,31000000
1,875,8626000,33500000
1,1000,10506000,47500000
1,1125,11890000,47500000
1,1250,13328000,47500000
1,1375,15298000,47500000
1,1500,17262000,47500000
1,1625,19046000,55500000
1,1750,20924000,55500000
1,1875,23014000,70000000
1,2000,24678000,86500000
1,2125,27092000,86500000
1,2250,29164000,86500000
1,2375,31438000,86500000
1,2500,34328000,86500000
1,2625,36304000,86500000
1,2750,38248000,86500000
1,2875,40300000,86500000
1,3000,41770000,86500000
1,3125,43590000,86500000
1,3250,45174000,86500000
1,3375,46646000,86500000
1,3500,48520000,86500000
1,3625,50582000,86500000
1,3750,51640000,86500000
1,3875,52686000,86500000
1,4000,54722000,86500000
1,4125,56624000,87000000
1,4250,58564000,87000000
1,4375,60912000,87000000
1,4500,62780000,87000000
1,4625,65352000,87000000
1,4750,67150000,97500000
1,4875,68558000,97500000
1,5000,70084000,97500000
2,250,-52176000,32000000
2,375,-26564000,32000000
2,500,-1988000,32000000
2,625,4876000,32000000
2,750,6742000,32000000
2,875,8500000,50000000
2,1000,10370000,51000000
2,1125,12238000,52500000
2,1250,14104000,52500000
2,1375,15690000,52500000
2,1500,17092000,52500000
2,1625,18568000,52500000
2,1750,19974000,52500000
2,1875,21470000,52500000
2,2000,23306000,52500000
2,2125,24838000,52500000
2,2250,25914000,52500000
2,2375,27906000,52500000
2,2500,29686000,58000000
2,2625,32024000,61000000
2,2750,34364000,61000000
2,2875,37006000,61000000
2,3000,39714000,63500000
2,3125,42608000,67000000
2,3250,44720000,67000000
2,3375,46474000,67000000
2,3500,47936000,67000000
2,3625,49364000,67000000
2,3750,50444000,67000000
2,3875,52080000,67000000
2,4000,53682000,67000000
2,4125,54808000,68000000
2,4250,56164000,68000000
2,4375,57558000,68000000
2,4500,58652000,68000000
2,4625,59646000,75500000
2,4750,60536000,75500000
2,4875,61154000,75500000
2,5000,61786000,75500000
3,250,-56226000,22500000
3,375,-34782000,22500000
3,500,-6018000,28000000
3,625,4446000,29500000
3,750,6564000,29500000
3,875,7974000,29500000
3,1000,9622000,29500000
3,1125,11048000,29500000
3,1250,12518000,29500000
3,1375,13550000,29500000
3,1500,14584000,29500000
3,1625,15404000,34500000
3,1750,16874000,35000000
3,1875,18018000,35000000
3,2000,19098000,40000000
3,2125,20328000,42500000
3,2250,21122000,42500000
3,2375,22208000,52000000
3,2500,23102000,52000000
3,2625,24334000,52000000
3,2750,25310000,56000000
3,2875,26246000,56000000
3,3000,27002000,56000000
3,3125,27974000,56000000
3,3250,29062000,56000000
3,3375,29932000,56000000
3,3500,31128000,56000000
3,3625,32838000,59000000
3,3750,34282000,74500000
3,3875,35192000,74500000
3,4000,36246000,74500000
3,4125,37652000,74500000
3,4250,38370000,74500000
3,4375,39116000,74500000
3,4500,40050000,74500000
3,4625,40946000,74500000
3,4750,41834000,74500000
3,4875,42540000,74500000
3,5000,43458000,84000000
4,250,-56164000,24500000
4,375,-26292000,24500000
4,500,-1782000,26000000
4,625,4824000,31500000
4,750,6084000,31500000
4,875,7612000,31500000
4,1000,9284000,35000000
4,1125,11446000,35000000
4,1250,13152000,35000000
4,1375,14556000,35000000
4,1500,15798000,35000000
4,1625,16894000,35000000
4,1750,17636000,44500000
4,1875,18644000,44500000
4,2000,19872000,44500000
4,2125,20972000,54500000
4,2250,21742000,54500000
4,2375,22562000,61000000
4,2500,23650000,61000000
4,2625,24798000,61000000
4,2750,25730000,61000000
4,2875,26974000,61000000
4,3000,27750000,61000000
4,3125,28752000,61000000
4,3250,29942000,61000000
4,3375,30620000,61000000
4,3500,31714000,61000000
4,3625,32676000,61000000
4,3750,34076000,61000000
4,3875,35984000,76000000
4,4000,37488000,76000000
4,4125,38860000,76000000
4,4250,40806000,76000000
4,4375,41928000,76000000
4,4500,43942000,76000000
4,4625,45408000,76000000
4,4750,47062000,76000000
4,4875,49268000,87000000
4,5000,50674000,87000000
5,250,-61580000,17000000
5,375,-39096000,17500000
5,500,-11834000,17500000
5,625,3434000,19000000
5,750,5478000,23000000
5,875,7332000,24000000
5,1000,9484000,28000000
5,1125,11262000,32000000
5,1250,12906000,39000000
5,1375,14046000,39000000
5,1500,15450000,39000000
5,1625,16440000,39000000
5,1750,17418000,39000000
5,1875,18158000,39000000
5,2000,18836000,39000000
5,2125,19368000,39000000
5,2250,20064000,47000000
5,2375,20704000,47000000
5,2500,21592000,47000000
5,2625,22328000,47000000
5,2750,22984000,47000000
5,2875,23842000,47000000
5,3000,24398000,47000000
5,3125,24822000,47000000
5,3250,25692000,47000000
5,3375,26304000,56000000
5,3500,26634000,56000000
5,3625,27698000,56000000
5,3750,28424000,56000000
5,3875,29512000,56000000
5,4000,30028000,56000000
5,4125,30772000,56000000
5,4250,31458000,56000000
5,4375,31896000,56000000
5,4500,32712000,56000000
5,4625,33454000,56000000
5,4750,34250000,56000000
5,4875,35232000,61000000
5,5000,35578000,61000000
6,250,-58858000,18000000
6,375,-32506000,18000000
6,500,-6518000,18000000
6,625,3822000,21500000
