run,evaluations,avg_fitness,best_fitness
0,360,-59509722.222222224,27000000
0,540,-34455555.55555555,27000000
0,720,-9720833.333333334,27000000
0,900,1618055.5555555555,27000000
0,1080,5405555.555555556,32000000
0,1260,7298611.111111111,32000000
0,1440,9237500,32000000
0,1620,10822222.222222222,33500000
0,1800,12186111.111111112,33500000
0,1980,13713888.888888888,33500000
0,2160,15009722.222222222,33500000
0,2340,16538888.888888888,33500000
0,2520,18038888.888888888,44000000
0,2700,19151388.888888888,44000000
0,2880,19912500,44000000
0,3060,20912500,44000000
0,3240,21868055.555555556,44000000
0,3420,22870833.333333332,44000000
0,3600,23809722.222222224,44000000
0,3780,24655555.555555556,44000000
0,3960,25636111.111111112,47000000
0,4140,26512500,47000000
0,4320,27313888.888888888,50000000
0,4500,28000000,50500000
0,4680,28765277.777777776,50500000
0,4860,29277777.777777776,50500000
0,5040,29954166.666666668,50500000
1,360,-55416666.666666664,18000000
1,540,-27262500,18000000
1,720,-3504166.6666666665,25500000
1,900,4695833.333333333,25500000
1,1080,6143055.555555556,25500000
1,1260,7581944.444444444,25500000
1,1440,9137500,25500000
1,1620,10520833.333333334,28500000
1,1800,11675000,29000000
1,1980,12961111.111111112,30000000
1,2160,14122222.222222222,32000000
1,2340,14990277.777777778,32000000
1,2520,16215277.777777778,37500000
1,2700,17130555.555555556,37500000
1,2880,17891666.666666668,37500000
1,3060,18531944.444444444,37500000
1,3240,19286111.111111112,37500000
1,3420,19958333.333333332,40500000
1,3600,20669444.444444444,44500000
1,3780,21559722.222222224,44500000
1,3960,22584722.222222224,44500000
1,4140,23098611.111111112,44500000
1,4320,23772222.222222224,45000000
1,4500,24381944.444444444,48000000
1,4680,24838888.888888888,48000000
1,4860,25358333.333333332,48000000
1,5040,26141666.666666668,49000000
2,360,-65156944.44444445,15000000
2,540,-39622222.222222224,34500000
2,720,-12404166.666666666,34500000
2,900,3219444.4444444445,34500000
2,1080,6052777.777777778,42000000
2,1260,7919444.444444444,42000000
2,1440,9813888.888888888,42000000
2,1620,11275000,42000000
2,1800,12772222.222222222,42000000
2,1980,14216666.666666666,42000000
2,2160,15783333.333333334,44500000
2,2340,17456944.444444444,44500000
2,2520,18998611.111111112,44500000
2,2700,20625000,44500000
2,2880,21822222.222222224,54000000
2,3060,23047222.222222224,54000000
2,3240,24656944.444444444,54000000
2,3420,26308333.333333332,54000000
2,3600,27552777.777777776,58500000
2,3780,28480555.555555556,58500000
2,3960,29704166.666666668,58500000
2,4140,31170833.333333332,61000000
2,4320,32237500,61000000
2,4500,33250000,61000000
2,4680,34287500,61000000
2,4860,35275000,61000000
2,5040,36518055.55555555,62500000
3,360,-58676388.88888889,24000000
3,540,-33119444.444444444,27000000
3,720,-2086111.111111111,33000000
3,900,5381944.444444444,41500000
3,1080,7452777.777777778,41500000
3,1260,9766666.666666666,41500000
3,1440,11847222.222222222,42500000
3,1620,14372222.222222222,53500000
3,1800,16573611.111111112,53500000
3,1980,18294444.444444444,53500000
3,2160,20826388.888888888,53500000
3,2340,22777777.777777776,53500000
3,2520,25030555.555555556,53500000
3,2700,27065277.777777776,57000000
3,2880,28922222.222222224,57000000
3,3060,30606944.444444444,57000000
3,3240,32597222.222222224,57000000
3,3420,34409722.222222224,57000000
3,3600,36304166.666666664,57000000
3,3780,38087500,61500000
3,3960,39534722.222222224,61500000
3,4140,40831944.44444445,69000000
3,4320,41952777.777777776,69000000
3,4500,42762500,69000000
3,4680,43779166.666666664,69000000
3,4860,44520833.333333336,69000000
3,5040,45323611.11111111,69000000
4,360,-56859722.222222224,21500000
4,540,-27861111.111111112,24500000
4,720,-1773611.111111111,24500000
4,900,5413888.888888889,24500000
4,1080,7301388.888888889,33500000
4,1260,8930555.555555556,33500000
4,1440,9925000,33500000
4,1620,11131944.444444444,33500000
4,1800,12401388.888888888,39500000
4,1980,13736111.111111112,39500000
4,2160,14894444.444444444,39500000
4,2340,16086111.111111112,39500000
4,2520,17093055.555555556,39500000
4,2700,18369444.444444444,44500000
4,2880,19469444.444444444,44500000
4,3060,20448611.111111112,52000000
4,3240,21511111.111111112,52000000
4,3420,22751388.888888888,52000000
4,3600,23813888.888888888,52000000
4,3780,24709722.222222224,52000000
4,3960,25675000,52000000
4,4140,26294444.444444444,52000000
4,4320,27070833.333333332,52000000
4,4500,27881944.444444444,60000000
4,4680,28670833.333333332,60000000
4,4860,29468055.555555556,60000000
4,5040,30363888.888888888,60000000
5,360,-57684722.222222224,26500000
5,540,-28595833.333333332,26500000
5,720,-2962500,26500000
5,900,5401388.888888889,26500000
5,1080,7166666.666666667,30500000
5,1260,9043055.555555556,30500000
5,1440,10909722.222222222,38500000
5,1620,12258333.333333334,38500000
5,1800,13213888.888888888,38500000
5,1980,14519444.444444444,38500000
5,2160,15902777.777777778,38500000
5,2340,17641666.666666668,38500000
5,2520,18686111.111111112,38500000
5,2700,20016666.666666668,52000000
5,2880,21086111.111111112,52500000
5,3060,22261111.111111112,52500000
5,3240,23163888.888888888,52500000
5,3420,24113888.888888888,61000000
5,3600,25173611.111111112,61000000
5,3780,26263888.888888888,61000000
5,3960,27591666.666666668,61000000
5,4140,28697222.222222224,61000000
5,4320,29320833.333333332,61000000
5,4500,30347222.222222224,63000000
5,4680,31150000,63000000
5,4860,32229166.666666668,63000000
5,5040,33343055.555555556,69000000
6,360,-58865277.777777776,22000000
6,540,-34123611.11111111,22000000
6,720,-6433333.333333333,32000000
6,900,4354166.666666667,32000000
6,1080,6477777.777777778,32000000
6,1260,8425000,41500000
6,1440,10594444.444444444,41500000
6,1620,12433333.333333334,41500000
6,1800,13934722.222222222,41500000
6,1980,15508333.333333334,41500000
6,2160,16900000,41500000
6,2340,18547222.222222224,41500000
6,2520,19995833.333333332,41500000
6,2700,21463888.888888888,45500000
6,2880,22677777.777777776,45500000
6,3060,24236111.111111112,47000000
6,3240,25663888.888888888,52500000
6,3420,26676388.888888888,52500000
6,3600,27756944.444444444,52500000
6,3780,29034722.222222224,52500000
6,3960,30315277.777777776,53000000
6,4140,31643055.555555556,53000000
6,4320,32901388.888888888,56000000
6,4500,33934722.222222224,56000000
6,4680,35234722.222222224,56000000
6,4860,36318055.55555555,56000000
6,5040,37255555.55555555,56000000
7,360,-58741666.666666664,19500000
7,540,-33291666.666666668,22500000
7,720,-7125000,34000000
7,900,2606944.4444444445,34000000
7,1080,6695833.333333333,34000000
7,1260,8629166.666666666,34000000
7,1440,10276388.888888888,34000000
7,1620,11887500,34000000
7,1800,13288888.888888888,41000000
7,1980,14619444.444444444,41000000
7,2160,15836111.111111112,41000000
7,2340,16859722.222222224,41000000
7,2520,18047222.222222224,44500000
7,2700,19459722.222222224,44500000
7,2880,20529166.666666668,44500000
7,3060,21450000,51000000
7,3240,22295833.333333332,62500000
7,3420,23205555.555555556,62500000
7,3600,24051388.888888888,62500000
7,3780,25075000,62500000
7,3960,25993055.555555556,62500000
7,4140,26705555.555555556,62500000
7,4320,27587500,62500000
7,4500,28486111.111111112,62500000
7,4680,29338888.888888888,62500000
7,4860,30218055.555555556,62500000
7,5040,31052777.777777776,62500000
8,360,-59723611.11111111,16000000
8,540,-35058333.333333336,21500000
8,720,-5751388.888888889,21500000
8,900,3594444.4444444445,22000000
8,1080,5890277.777777778,29000000
8,1260,7891666.666666667,54000000
8,1440,9859722.222222222,54000000
8,1620,11455555.555555556,54000000
8,1800,12847222.222222222,54000000
8,1980,13848611.111111112,54000000
8,2160,15055555.555555556,54000000
8,2340,16301388.888888888,54000000
8,2520,17359722.222222224,54000000
8,2700,18604166.666666668,54000000
8,2880,19588888.888888888,54000000
8,3060,20512500,54000000
8,3240,21270833.333333332,54000000
8,3420,21894444.444444444,54000000
8,3600,22938888.888888888,54000000
8,3780,23744444.444444444,59500000
8,3960,24572222.222222224,59500000
8,4140,25408333.333333332,59500000
8,4320,26126388.888888888,59500000
8,4500,27179166.666666668,59500000
8,4680,27840277.777777776,59500000
8,4860,28969444.444444444,59500000
8,5040,29840277.777777776,59500000
9,360,-54301388.88888889,21500000
9,540,-27840277.777777776,26500000
9,720,-3965277.777777778,26500000
9,900,4079166.6666666665,27500000
9,1080,6398611.111111111,35000000
9,1260,8066666.666666667,35000000
9,1440,9958333.333333334,42500000
9,1620,11865277.777777778,42500000
9,1800,13480555.555555556,42500000
9,1980,14866666.666666666,42500000
9,2160,15961111.111111112,42500000
9,2340,17290277.777777776,42500000
9,2520,18847222.222222224,52000000
9,2700,20551388.888888888,52500000
9,2880,22063888.888888888,52500000
9,3060,23809722.222222224,57500000
9,3240,25616666.666666668,59000000
9,3420,27047222.222222224,59000000
9,3600,28780555.555555556,59000000
9,3780,30494444.444444444,59000000
9,3960,32320833.333333332,59000000
9,4140,33523611.111111112,59000000
9,4320,34844444.44444445,59000000
9,4500,36737500,65000000
9,4680,38150000,65000000
9,4860,40172222.222222224,67000000
9,5040,41905555.55555555,67000000
10,360,-57465277.777777776,20000000
10,540,-31855555.555555556,23000000
10,720,-6770833.333333333,23000000
10,900,4556944.444444444,29500000
10,1080,6470833.333333333,29500000
10,1260,8541666.666666666,30500000
10,1440,10565277.777777778,30500000
10,1620,12005555.555555556,30500000
10,1800,13375000,35000000
10,1980,14547222.222222222,38500000
10,2160,15859722.222222222,45000000
10,2340,16993055.555555556,45000000
10,2520,18343055.555555556,45000000
10,2700,19398611.111111112,45000000
10,2880,20416666.666666668,45000000
10,3060,21100000,45000000
10,3240,22037500,45000000
10,3420,23173611.111111112,47500000
10,3600,24156944.444444444,47500000
10,3780,25019444.444444444,51000000
10,3960,26141666.666666668,57000000
10,4140,26745833.333333332,57000000
10,4320,27561111.111111112,57000000
10,4500,28502777.777777776,57000000
10,4680,29502777.777777776,57000000
10,4860,30394444.444444444,57000000
10,5040,31513888.888888888,57000000
11,360,-59754166.666666664,23500000
11,540,-32023611.111111112,23500000
11,720,-7451388.888888889,26000000
11,900,4419444.444444444,30000000
11,1080,6556944.444444444,30500000
11,1260,8263888.888888889,36500000
11,1440,9870833.333333334,36500000
11,1620,11134722.222222222,36500000
11,1800,12531944.444444444,36500000
11,1980,13833333.333333334,36500000
11,2160,14673611.111111112,36500000
11,2340,15512500,36500000
11,2520,16534722.222222222,37000000
11,2700,17651388.888888888,39000000
11,2880,18609722.222222224,39000000
11,3060,19444444.444444444,43500000
11,3240,20494444.444444444,51000000
11,3420,21537500,51000000
11,3600,22263888.888888888,51000000
11,3780,23173611.111111112,51000000
11,3960,24251388.888888888,51000000
11,4140,24900000,51000000
11,4320,25769444.444444444,51000000
11,4500,26433333.333333332,51000000
11,4680,27286111.111111112,51000000
11,4860,28186111.111111112,51000000
11,5040,28956944.444444444,51000000
12,360,-63420833.333333336,21000000
12,540,-40138888.88888889,22500000
12,720,-15673611.111111112,22500000
12,900,-2051388.888888889,22500000
12,1080,5538888.888888889,22500000
12,1260,7250000,28500000
12,1440,9190277.777777778,34000000
12,1620,10872222.222222222,36500000
12,1800,12587500,42000000
12,1980,14055555.555555556,42000000
12,2160,15359722.222222222,42000000
12,2340,16472222.222222222,42000000
12,2520,17488888.888888888,42000000
12,2700,18509722.222222224,43500000
12,2880,19213888.888888888,43500000
12,3060,20118055.555555556,43500000
12,3240,20819444.444444444,43500000
12,3420,21540277.777777776,43500000
12,3600,22705555.555555556,43500000
12,3780,23570833.333333332,43500000
12,3960,24543055.555555556,53500000
12,4140,25140277.777777776,53500000
12,4320,26156944.444444444,60500000
12,4500,26820833.333333332,60500000
