run,evaluations,avg_fitness,best_fitness
0,250,-61852000,21000000
0,375,-35414000,21000000
0,500,-10672000,21000000
0,625,3958000,31000000
0,750,5880000,31000000
0,875,7358000,36000000
0,1000,8910000,36000000
0,1125,10660000,36000000
0,1250,11896000,36000000
0,1375,13552000,36000000
0,1500,15028000,36000000
0,1625,16704000,42000000
0,1750,18100000,42000000
0,1875,19298000,42000000
0,2000,20710000,43500000
0,2125,22002000,43500000
0,2250,23042000,43500000
0,2375,24226000,51500000
0,2500,25316000,51500000
0,2625,26794000,51500000
0,2750,28046000,55500000
0,2875,29566000,57000000
0,3000,30608000,57000000
0,3125,31570000,57000000
0,3250,32974000,58500000
0,3375,34190000,58500000
0,3500,35710000,70500000
0,3625,37446000,70500000
0,3750,39078000,70500000
0,3875,40778000,70500000
0,4000,42692000,70500000
0,4125,44400000,70500000
0,4250,46120000,71500000
0,4375,48196000,71500000
0,4500,50542000,72000000
0,4625,52584000,72000000
0,4750,54250000,72000000
0,4875,56320000,72000000
0,5000,57984000,72000000
1,250,-57556000,18000000
1,375,-33976000,18000000
1,500,-10434000,20500000
1,625,3602000,24000000
1,750,5804000,35500000
1,875,8164000,35500000
1,1000,9806000,35500000
1,1125,11806000,45000000
1,1250,13978000,45000000
1,1375,15790000,53000000
1,1500,17476000,53000000
1,1625,19432000,53000000
1,1750,22206000,61500000
1,1875,24502000,61500000
1,2000,27082000,61500000
1,2125,28788000,61500000
1,2250,30422000,61500000
1,2375,32236000,61500000
1,2500,33852000,64000000
1,2625,35978000,64000000
1,2750,37576000,64000000
1,2875,39302000,64000000
1,3000,40950000,64000000
1,3125,42584000,64000000
1,3250,43940000,65500000
1,3375,45428000,65500000
1,3500,46764000,65500000
1,3625,48234000,66500000
1,3750,49384000,66500000
1,3875,51250000,82000000
1,4000,53474000,82000000
1,4125,56370000,82000000
1,4250,58022000,82000000
1,4375,59424000,82000000
1,4500,60752000,82000000
1,4625,62232000,84500000
1,4750,64040000,84500000
1,4875,65410000,84500000
1,5000,66690000,85000000
2,250,-60078000,15000000
2,375,-36146000,20000000
2,500,-5362000,21000000
2,625,4814000,31000000
2,750,6992000,31000000
2,875,8950000,32500000
2,1000,10618000,42000000
2,1125,11970000,42000000
2,1250,13492000,42000000
2,1375,15386000,44500000
2,1500,16472000,44500000
2,1625,18178000,60500000
2,1750,19886000,60500000
2,1875,21960000,60500000
2,2000,23698000,60500000
2,2125,25798000,60500000
2,2250,27904000,60500000
2,2375,29758000,67000000
2,2500,31260000,67000000
2,2625,32900000,67000000
2,2750,34652000,67000000
2,2875,36542000,67000000
2,3000,38708000,67000000
2,3125,40478000,67000000
2,3250,42696000,67000000
2,3375,44736000,71500000
2,3500,46928000,75000000
2,3625,48624000,75000000
2,3750,50318000,75000000
2,3875,51714000,90000000
2,4000,53016000,90000000
2,4125,54392000,90000000
2,4250,55698000,90000000
2,4375,57158000,90000000
2,4500,58610000,90000000
2,4625,60142000,90000000
2,4750,61446000,90000000
2,4875,62830000,90000000
2,5000,64460000,90000000
3,250,-57712000,21500000
3,375,-32398000,37500000
3,500,-3408000,37500000
3,625,5416000,37500000
3,750,7872000,58000000
3,875,9912000,58000000
3,1000,12238000,58000000
3,1125,14576000,58000000
3,1250,17042000,58000000
3,1375,19446000,70000000
3,1500,21820000,70000000
3,1625,24442000,70000000
3,1750,27492000,70000000
3,1875,30026000,70000000
3,2000,32194000,70000000
3,2125,34184000,70000000
3,2250,36340000,70000000
3,2375,39512000,74000000
3,2500,42684000,74000000
3,2625,44912000,74000000
3,2750,47050000,74000000
3,2875,49240000,75500000
3,3000,51916000,75500000
3,3125,54882000,76500000
3,3250,57280000,76500000
3,3375,59752000,76500000
3,3500,61624000,76500000
3,3625,62854000,78500000
3,3750,65218000,78500000
3,3875,67940000,78500000
3,4000,69868000,80000000
3,4125,70710000,84500000
3,4250,71570000,84500000
3,4375,72558000,91500000
3,4500,73470000,93000000
3,4625,74166000,93000000
3,4750,74894000,93000000
3,4875,75392000,93000000
3,5000,76088000,93000000
4,250,-57666000,20500000
4,375,-34292000,23500000
4,500,-6084000,23500000
4,625,4396000,32500000
4,750,6298000,32500000
4,875,7984000,32500000
4,1000,9326000,32500000
4,1125,11040000,32500000
4,1250,12582000,34000000
4,1375,14048000,34000000
4,1500,15350000,42000000
4,1625,16870000,42000000
4,1750,18598000,42000000
4,1875,19584000,52000000
4,2000,20638000,52000000
4,2125,22092000,52000000
4,2250,22908000,52000000
4,2375,23858000,52000000
4,2500,24726000,52000000
4,2625,25804000,52000000
4,2750,26826000,52000000
4,2875,28448000,59500000
4,3000,29640000,59500000
4,3125,31076000,59500000
4,3250,32586000,63500000
4,3375,34076000,73500000
4,3500,35282000,73500000
4,3625,36584000,73500000
4,3750,37390000,73500000
4,3875,39280000,73500000
4,4000,40548000,73500000
4,4125,42364000,73500000
4,4250,43786000,73500000
4,4375,44844000,73500000
4,4500,46584000,80500000
4,4625,48142000,80500000
4,4750,49368000,80500000
4,4875,50474000,80500000
4,5000,51990000,80500000
5,250,-52956000,16000000
5,375,-28674000,19500000
5,500,-786000,19500000
5,625,4852000,25000000
5,750,6486000,25000000
5,875,8308000,26000000
5,1000,10034000,33000000
5,1125,11548000,35000000
5,1250,12900000,50500000
5,1375,14276000,50500000
5,1500,15122000,50500000
5,1625,16134000,50500000
5,1750,17102000,50500000
5,1875,18518000,50500000
5,2000,20130000,50500000
5,2125,21270000,50500000
5,2250,22106000,56000000
5,2375,23164000,56000000
5,2500,24178000,56000000
5,2625,25114000,56000000
5,2750,26198000,56000000
5,2875,27010000,56000000
5,3000,27796000,56000000
5,3125,28618000,56000000
5,3250,29732000,56000000
5,3375,30878000,56000000
5,3500,31840000,56000000
5,3625,32654000,56000000
5,3750,33510000,56000000
5,3875,34560000,56000000
5,4000,35150000,57000000
5,4125,36076000,57000000
5,4250,37236000,57000000
5,4375,38098000,57000000
5,4500,38954000,66500000
5,4625,39810000,66500000
5,4750,40856000,75000000
5,4875,42302000,75000000
5,5000,43568000,75000000
6,250,-60864000,24000000
6,375,-36372000,24000000
6,500,-7652000,24000000
6,625,4484000,37500000
6,750,6144000,37500000
6,875,7994000,37500000
6,1000,9562000,37500000
6,1125,11210000,38500000
6,1250,12624000,38500000
6,1375,13670000,38500000
6,1500,14900000,38500000
6,1625,15616000,38500000
6,1750,16508000,38500000
6,1875,17590000,38500000
6,2000,19124000,42000000
6,2125,19816000,42000000
6,2250,21344000,42500000
6,2375,22808000,46000000
6,2500,23678000,46000000
6,2625,24860000,46000000
6,2750,26274000,53000000
6,2875,27232000,53000000
6,3000,28260000,53000000
6,3125,29216000,53000000
6,3250,30436000,53000000
6,3375,31776000,53000000
6,3500,33012000,66000000
6,3625,34334000,66000000
6,3750,35308000,66000000
6,3875,36434000,66000000
6,4000,37104000,66000000
6,4125,38136000,66000000
6,4250,39230000,66000000
6,4375,40176000,77000000
6,4500,40940000,77000000
6,4625,41834000,77000000
6,4750,42370000,77000000
6,4875,43282000,77000000
6,5000,44024000,77000000
7,250,-63018000,18500000
7,375,-37390000,18500000
7,500,-12402000,18500000
7,625,4086000,26000000
7,750,5428000,26000000
7,875,7474000,28500000
7,1000,9158000,55000000
7,1125,10596000,55000000
7,1250,12372000,55000000
7,1375,14368000,55000000
7,1500,15426000,55000000
7,1625,16344000,55000000
7,1750,17690000,55000000
7,1875,18992000,55000000
7,2000,20402000,55000000
7,2125,21456000,65000000
7,2250,23052000,65000000
7,2375,24220000,65000000
7,2500,25342000,65000000
7,2625,26752000,65000000
7,2750,28134000,65000000
7,2875,29774000,68000000
7,3000,31416000,68000000
7,3125,32414000,68000000
7,3250,33656000,68000000
7,3375,35384000,68000000
7,3500,36822000,68500000
7,3625,38316000,71000000
7,3750,40170000,71000000
7,3875,41568000,71000000
7,4000,43810000,71000000
7,4125,45932000,71000000
7,4250,47182000,71500000
7,4375,48488000,71500000
7,4500,50358000,72000000
7,4625,51568000,72000000
7,4750,52394000,72000000
7,4875,53126000,72000000
7,5000,53950000,72000000
8,250,-60670000,20500000
8,375,-35236000,20500000
8,500,-9942000,32500000
8,625,3494000,32500000
8,750,6326000,42000000
8,875,8508000,42000000
8,1000,10848000,42000000
8,1125,12656000,42000000
8,1250,14512000,42000000
8,1375,16460000,42000000
8,1500,18226000,44500000
8,1625,19778000,44500000
8,1750,21182000,44500000
8,1875,22738000,46500000
8,2000,24620000,46500000
8,2125,26612000,51000000
8,2250,28044000,51500000
8,2375,29604000,51500000
8,2500,31592000,53500000
8,2625,33432000,53500000
8,2750,35434000,53500000
8,2875,36784000,53500000
8,3000,37738000,56000000
8,3125,38746000,56000000
8,3250,40076000,57000000
8,3375,41426000,57500000
8,3500,42604000,57500000
8,3625,43226000,57500000
8,3750,44240000,60000000
8,3875,45118000,60000000
8,4000,45912000,60000000
8,4125,47028000,60000000
8,4250,48078000,60000000
8,4375,48890000,60000000
8,4500,49802000,62000000
8,4625,50754000,62000000
8,4750,51674000,62000000
8,4875,52416000,62000000
8,5000,53188000,62000000
9,250,-59644000,21000000
9,375,-38950000,21000000
9,500,-9356000,25000000
9,625,4410000,25000000
9,750,6660000,37500000
9,875,8622000,37500000
9,1000,10328000,37500000
9,1125,11860000,37500000
9,1250,13156000,40500000
9,1375,14998000,40500000
9,1500,16668000,40500000
9,1625,18012000,40500000
9,1750,19570000,40500000
9,1875,21258000,40500000
9,2000,22730000,46000000
9,2125,23940000,46000000
9,2250,24946000,46000000
9,2375,26004000,46000000
9,2500,27162000,52000000
9,2625,28516000,55000000
9,2750,29834000,55500000
9,2875,31266000,55500000
9,3000,32808000,58000000
9,3125,34646000,59500000
9,3250,36426000,59500000
9,3375,38014000,59500000
9,3500,39708000,67500000
9,3625,41630000,67500000
9,3750,42896000,67500000
9,3875,44636000,67500000
9,4000,45982000,67500000
9,4125,47876000,67500000
9,4250,49934000,67500000
9,4375,51276000,73000000
9,4500,52604000,73000000
9,4625,53714000,73000000
9,4750,54830000,73000000
9,4875,55812000,82000000
9,5000,57116000,82000000
10,250,-58542000,18500000
10,375,-34464000,24500000
10,500,-9762000,24500000
10,625,5204000,24500000
10,750,6960000,24500000
10,875,8592000,28000000
10,1000,10240000,28000000
10,1125,12134000,31000000
10,1250,13666000,31000000
10,1375,15140000,43500000
10,1500,16228000,43500000
10,1625,17324000,43500000
10,1750,18480000,43500000
10,1875,19136000,43500000
10,2000,20070000,44000000
10,2125,20872000,44000000
10,2250,21630000,44000000
10,2375,22456000,44000000
10,2500,23456000,48000000
10,2625,24364000,48000000
10,2750,24842000,48000000
10,2875,25742000,48000000
10,3000,26486000,48000000
10,3125,27240000,48000000
10,3250,27946000,57500000
10,3375,28746000,57500000
10,3500,29314000,57500000
10,3625,30374000,57500000
10,3750,31552000,57500000
10,3875,32242000,57500000
10,4000,33256000,73000000
10,4125,33928000,73000000
10,4250,34524000,73000000
10,4375,35494000,73000000
10,4500,36312000,73000000
10,4625,37328000,73000000
10,4750,38386000,73000000
10,4875,39256000,73000000
10,5000,40246000,73000000
11,250,-61002000,19500000
11,375,-35248000,21500000
11,500,-5682000,21500000
11,625,4768000,21500000
11,750,6334000,21500000
11,875,7946000,24500000
11,1000,9132000,24500000
11,1125,10614000,31500000
11,1250,11870000,31500000
11,1375,12952000,31500000
11,1500,14334000,31500000
11,1625,15390000,34500000
11,1750,16628000,34500000
11,1875,18086000,47500000
11,2000,19634000,56000000
11,2125,20494000,56000000
11,2250,21860000,69000000
11,2375,23126000,69000000
11,2500,24178000,69000000
11,2625,25432000,69000000
11,2750,26702000,69000000
11,2875,28248000,69000000
11,3000,30012000,69000000
11,3125,31264000,69000000
11,3250,32932000,72000000
11,3375,34294000,72000000
11,3500,35860000,72000000
11,3625,37658000,73000000
11,3750,39196000,73000000
11,3875,41386000,74000000
11,4000,42916000,74000000
11,4125,44784000,76500000
11,4250,46414000,76500000
11,4375,49142000,76500000
11,4500,51030000,85500000
11,4625,53576000,85500000
11,4750,55840000,85500000
11,4875,57176000,85500000
11,5000,59350000,85500000
12,250,-52862000,21000000
12,375,-28086000,21000000
12,500,-2440000,30500000
12,625,5010000,30500000
12,750,6302000,30500000
12,875,7560000,30500000
12,1000,8844000,34000000
12,1125,9948000,34000000
12,1250,11118000,34000000
12,1375,12154000,34000000
12,1500,13228000,45000000
12,1625,14070000,45000000
12,1750,14946000,45000000
12,1875,15964000,45000000
12,2000,17704000,52500000
12,2125,18832000,52500000
12,2250,19922000,52500000
12,2375,20952000,52500000
12,2500,21832000,52500000
12,2625,22914000,52500000
12,2750,23872000,52500000
12,2875,24770000,52500000
12,3000,25528000,66000000
12,3125,26694000,66000000
12,3250,27612000,66000000
12,3375,28546000,66000000
12,3500,29442000,66000000
12,3625,30396000,66000000
12,3750,31172000,66000000
12,3875,32156000,66000000
12,4000,33044000,66000000
12,4125,34158000,68000000
12,4250,35408000,68000000
12,4375,36744000,68000000
12,4500,38372000,68000000
12,4625,40004000,68000000
12,4750,41478000,68000000
12,4875,43388000,76500000
12,5000,45756000,76500000
13,250,-59798000,15500000
13,375,-39238000,16000000
13,500,-16972000,19500000
13,625,3222000,19500000
13,750,4838000,22500000
13,875,6398000,28000000
13,1000,7842000,33000000
13,1125,9468000,33000000
13,1250,10828000,33000000
13,1375,12104000,33000000
13,1500,13554000,49500000
13,1625,14534000,49500000
13,1750,15916000,49500000
13,1875,16970000,49500000
13,2000,17876000,49500000
13,2125,18794000,49500000
13,2250,19582000,49500000
13,2375,20422000,49500000
13,2500,21070000,49500000
13,2625,21868000,49500000
13,2750,22408000,49500000
13,2875,22898000,49500000
13,3000,23904000,49500000
13,3125,24772000,49500000
13,3250,25694000,49500000
13,3375,26366000,49500000
13,3500,26798000,49500000
13,3625,27520000,49500000
13,3750,28236000,49500000
13,3875,28772000,49500000
13,4000,29326000,49500000
13,4125,29738000,49500000
13,4250,30638000,79500000
13,4375,31224000,79500000
13,4500,32078000,79500000
13,4625,32772000,79500000
13,4750,33242000,79500000
13,4875,33574000,79500000
13,5000,34154000,79500000
14,250,-57404000,20000000
14,375,-30316000,23500000
14,500,-3284000,23500000
14,625,4820000,23500000
14,750,6462000,41000000
14,875,7654000,41000000
14,1000,9188000,41000000
14,1125,10252000,41000000
14,1250,11976000,41000000
14,1375,13294000,41500000
14,1500,14288000,41500000
14,1625,15450000,58000000
14,1750,16712000,58000000
14,1875,17914000,58000000
14,2000,18836000,58000000
14,2125,19632000,58000000
14,2250,20732000,58000000
14,2375,21838000,58000000
14,2500,23104000,58000000
14,2625,24078000,58000000
14,2750,25196000,58000000
14,2875,26076000,58000000
14,3000,26896000,58000000
14,3125,28364000,58000000
14,3250,29814000,58000000
14,3375,30826000,58000000
14,3500,31764000,58000000
14,3625,32598000,58000000
14,3750,33266000,58000000
14,3875,33968000,58000000
14,4000,34616000,58000000
14,4125,35390000,58000000
14,4250,36296000,62500000
14,4375,37322000,62500000
14,4500,38196000,63500000
14,4625,38654000,63500000
14,4750,39362000,63500000
14,4875,40046000,63500000
14,5000,40732000,63500000
15,250,-49986000,29500000
15,375,-25748000,29500000
15,500,-2576000,29500000
15,625,5668000,29500000
15,750,7556000,31500000
15,875,8932000,32000000
