run,evaluations,avg_fitness,best_fitness
0,400,13.735,116
0,600,22.735,116
0,800,35.6125,161
0,1000,46.77,164
0,1200,56.51,170
0,1400,63.19,170
0,1600,70.45,170
0,1800,77.425,170
0,2000,82.43,170
1,400,13.8325,86
1,600,21.4375,86
1,800,31.9725,126
1,1000,39.7625,126
1,1200,49.525,126
1,1400,60.1975,144
1,1600,68.82,144
1,1800,75.4625,157
1,2000,81.4325,157
2,400,12.3225,83
2,600,18.985,103
2,800,32.0525,116
2,1000,41.665,116
2,1200,50.7625,123
2,1400,59.285,123
2,1600,67.865,178
2,1800,73.8725,178
2,2000,79.405,178
3,400,13.755,126
3,600,21.37,126
3,800,34.7125,142
3,1000,45.08,145
3,1200,51.735,145
3,1400,59.855,190
3,1600,67.965,190
3,1800,74.5675,190
3,2000,81.6,190
4,400,14.87,96
4,600,24.035,106
4,800,35.3975,106
4,1000,45.5525,116
4,1200,54.635,170
4,1400,63.5725,170
4,1600,72.71,170
4,1800,78.7825,170
4,2000,84.145,170
5,400,14.6775,153
5,600,22.9325,153
5,800,35.8025,153
5,1000,47.93,153
5,1200,61.0625,153
5,1400,75.2125,176
5,1600,88.8575,183
5,1800,99.6475,183
5,2000,106.555,188
6,400,11.4425,106
6,600,17.5025,106
6,800,33.765,133
6,1000,45.03,227
6,1200,56.9275,227
6,1400,67.64,227
6,1600,75.1075,227
6,1800,81.71,227
6,2000,87.425,227
7,400,12.58,90
7,600,19.81,93
7,800,30.4875,100
7,1000,40.4025,123
7,1200,49.1675,132
7,1400,54.755,132
7,1600,61.3775,160
7,1800,68.27,160
7,2000,72.33,160
8,400,14.9575,103
8,600,23.6975,111
8,800,37.655,139
8,1000,49.885,165
8,1200,60.685,165
8,1400,69.6,165
8,1600,77.5425,183
8,1800,83.595,183
8,2000,89.4325,183
9,400,13.1925,113
9,600,22.1375,151
9,800,35.1425,151
9,1000,48.6525,163
9,1200,58.6975,173
9,1400,68.9625,173
9,1600,76.4475,173
9,1800,83.73,177
9,2000,88.465,177
10,400,13.2625,83
10,600,20.4175,133
10,800,31.115,133
10,1000,40.375,133
10,1200,48.6075,133
10,1400,57.445,164
10,1600,65.4,164
10,1800,72.5275,184
10,2000,78.075,184
11,400,14.1625,106
11,600,21.5375,106
11,800,34.37,153
11,1000,44.4625,153
11,1200,54.04,153
11,1400,63.7375,153
11,1600,71.745,163
11,1800,79.14,167
11,2000,85.39,173
12,400,13.4775,145
12,600,21.64,145
12,800,32.6,145
12,1000,40.88,145
12,1200,49.34,145
12,1400,57.385,185
12,1600,64.675,185
12,1800,70.2325,185
12,2000,77.205,188
13,400,14.055,120
13,600,22.8025,140
13,800,35.51,140
13,1000,44.28,140
13,1200,53.3825,188
13,1400,61.7825,188
13,1600,67.1575,188
13,1800,72.1425,188
13,2000,78.83,188
14,400,14.3825,93
14,600,23.4725,123
14,800,34.5,184
14,1000,45.1675,184
14,1200,54.245,199
14,1400,63.45,199
14,1600,72.5775,199
14,1800,80.9825,199
14,2000,87.3775,199
15,400,12.95,100
15,600,22.1075,123
15,800,35.3875,176
15,1000,46.5875,176
15,1200,57.8125,176
15,1400,68.92,176
15,1600,78.0775,176
15,1800,85.3925,176
15,2000,90.85,176
16,400,12.425,100
16,600,18.7125,100
16,800,31.9775,100
16,1000,41.4725,116
16,1200,50.3275,116
16,1400,57.4225,116
16,1600,63.9975,143
16,1800,69.4475,166
16,2000,73.89,166
17,400,13.1475,136
17,600,21.1,136
17,800,35.215,136
17,1000,44.4875,136
17,1200,53.625,173
17,1400,59.795,173
17,1600,67.2625,182
17,1800,73.7875,182
17,2000,78.7275,182
18,400,13.02,90
18,600,18.735,136
18,800,32.515,136
18,1000,44.21,154
18,1200,54.9425,156
18,1400,66.2075,161
18,1600,75.84,161
18,1800,81.7575,161
18,2000,86.8725,162
19,400,14.44,113
19,600,22.31,113
19,800,34.2575,113
19,1000,42.75,128
19,1200,49.5575,130
19,1400,56.29,140
19,1600,61.33,161
19,1800,67.175,163
19,2000,72.925,163
20,400,13.6125,103
20,600,21.3125,103
20,800,34.2775,106
20,1000,43.66,147
20,1200,53.39,147
20,1400,62.5825,147
20,1600,70.365,162
20,1800,76.355,162
20,2000,82.475,162
21,400,13.6075,93
21,600,21.5575,172
21,800,33.74,172
21,1000,41.2325,172
21,1200,47.5275,172
21,1400,53.7025,172
21,1600,60.3025,172
21,1800,66.62,172
21,2000,73.0775,172
22,400,13.5175,176
22,600,21.485,176
22,800,34.54,176
22,1000,44.3125,176
22,1200,52.2675,176
22,1400,59.48,176
22,1600,66.1275,176
22,1800,71.9475,176
22,2000,76.705,176
23,400,13.645,149
23,600,20.6225,149
23,800,33.24,149
23,1000,42.4575,151
23,1200,49.6825,162
23,1400,56.2825,176
23,1600,60.8275,176
23,1800,65.3325,176
23,2000,69.7525,176
24,400,14.5325,103
24,600,23.2275,184
24,800,35.0025,184
24,1000,43.5725,184
24,1200,51.63,184
24,1400,59.9825,184
24,1600,68.8175,203
24,1800,76.61,203
24,2000,83.0025,203
25,400,13.9875,148
25,600,21.955,148
25,800,34.3375,148
25,1000,44.1575,165
25,1200,53.5,179
25,1400,61.45,179
25,1600,68.245,179
25,1800,75.04,179
25,2000,81.22,179
26,400,13.59,126
26,600,22.9375,126
26,800,37.5075,173
26,1000,48.705,173
26,1200,59.0575,173
26,1400,67.1825,182
26,1600,74.405,182
26,1800,80.44,184
26,2000,84.48,184
27,400,12.28,73
27,600,20.135,80
27,800,31.9425,103
27,1000,40.7275,131
27,1200,48.5225,198
27,1400,54.955,198
27,1600,61.7275,198
27,1800,71.1425,198
27,2000,78.5725,198
28,400,13.9925,103
28,600,22.215,103
28,800,33.7725,116
28,1000,43.695,133
28,1200,49.845,133
28,1400,56.645,163
28,1600,63.7725,184
28,1800,70.035,184
28,2000,74.74,184
29,400,12.43,80
29,600,19.545,103
29,800,32.2075,113
29,1000,41.07,184
29,1200,49.36,184
29,1400,57.3475,193
29,1600,65.0625,193
29,1800,70.795,193
29,2000,76.3475,193
