run,evaluations,avg_fitness,best_fitness
0,300,80.73666666666666,1294
0,750,195.24666666666667,1316
0,1200,313.2033333333333,1328
0,1650,586.65,1348
0,2100,876.0333333333333,1343
1,300,144.83666666666667,1265
1,750,203.83,1277
1,1200,401.86,1339
1,1650,581.6,1295
1,2100,714.1433333333333,1312
2,300,133.44333333333333,1270
2,750,248.13333333333333,1347
2,1200,403.65,1319
2,1650,630.13,1301
2,2100,799.12,1273
3,300,142.85,1344
3,750,214.84,1296
3,1200,337.35333333333335,1319
3,1650,519.2766666666666,1300
3,2100,736.49,1322
4,300,123.74,1283
4,750,164.07666666666665,1283
4,1200,298.30333333333334,1325
4,1650,491.36,1289
4,2100,720.19,1314
5,300,148.50333333333333,1317
5,750,238.50666666666666,1342
5,1200,418.87333333333333,1324
5,1650,716.51,1351
5,2100,933.21,1342
6,300,112.23666666666666,1291
6,750,202.69,1313
6,1200,501.6666666666667,1333
6,1650,838.7,1313
6,2100,1073.4666666666667,1338
7,300,128.58666666666667,1318
7,750,180.19666666666666,1298
7,1200,393.6433333333333,1335
7,1650,571.3166666666667,1307
7,2100,701.45,1303
8,300,114.57,1296
8,750,182.73333333333332,1301
8,1200,384.44666666666666,1311
8,1650,696.71,1321
8,2100,930.58,1336
9,300,105.97,1255
9,750,178.16333333333333,1244
9,1200,286.04,1320
9,1650,503.26666666666665,1343
9,2100,632.4766666666667,1320
10,300,124.22,1256
10,750,233.69,1263
10,1200,355.9066666666667,1344
10,1650,524.95,1316
10,2100,762.8166666666667,1325
11,300,118.57666666666667,1329
11,750,199.64666666666668,1230
11,1200,322.2866666666667,1303
11,1650,498.03333333333336,1307
11,2100,659.95,1289
12,300,125.44,1338
12,750,220.90333333333334,1283
12,1200,386.19666666666666,1350
12,1650,638.1866666666666,1297
12,2100,882.7866666666666,1297
13,300,92.06,1312
13,750,197.39333333333335,1341
13,1200,389.06333333333333,1348
13,1650,591.15,1346
13,2100,809.9266666666666,1329
14,300,96.07,1243
14,750,179.12,1288
14,1200,313.3566666666667,1351
14,1650,458.52,1311
14,2100,724.7733333333333,1331
15,300,86.77,1168
15,750,136.64333333333335,1215
15,1200,310.76,1341
15,1650,642.66,1342
15,2100,985.16,1341
16,300,115.91666666666667,1207
16,750,228.81666666666666,1322
16,1200,433.97,1341
16,1650,698.12,1340
16,2100,894.6066666666667,1339
17,300,91.51666666666667,1319
17,750,238.92,1346
17,1200,353.75333333333333,1325
17,1650,554.6933333333334,1324
17,2100,879.31,1330
18,300,149.48,1319
18,750,218.36,1307
18,1200,351.9633333333333,1293
18,1650,656.0233333333333,1331
18,2100,821.9133333333333,1336
19,300,93.88,1230
19,750,173.50333333333333,1330
19,1200,361.2866666666667,1353
19,1650,509.34,1339
19,2100,708.6133333333333,1324
20,300,121.72333333333333,1294
20,750,219.66666666666666,1332
20,1200,332.82,1328
20,1650,568.94,1332
20,2100,808.82,1338
21,300,149.39,1184
21,750,225.65333333333334,1333
21,1200,363.31333333333333,1352
21,1650,551.53,1317
21,2100,712.87,1334
22,300,81.02333333333333,1256
22,750,115.41333333333333,1261
22,1200,365.74,1317
22,1650,628.2766666666666,1321
22,2100,855.67,1330
23,300,102.53666666666666,1331
23,750,184.11333333333334,1322
23,1200,337.0833333333333,1348
23,1650,534.62,1296
23,2100,786.3133333333334,1301
24,300,106.42333333333333,1192
24,750,186.00333333333333,1345
24,1200,416.1666666666667,1318
24,1650,618.6433333333333,1341
24,2100,873.7366666666667,1345
25,300,153.56333333333333,1316
25,750,233.23,1326
25,1200,435.47333333333336,1324
25,1650,643.48,1329
25,2100,829.9366666666666,1307
26,300,99.73,1282
26,750,139.32666666666665,1172
26,1200,284.3566666666667,1318
26,1650,450.64666666666665,1301
26,2100,601.9266666666666,1323
27,300,93.97,1260
27,750,177.38,1211
27,1200,263.9866666666667,1329
27,1650,508.61,1345
27,2100,797.9433333333334,1341
28,300,111.88666666666667,1230
28,750,196.36666666666667,1295
28,1200,376.8666666666667,1337
28,1650,653.27,1321
28,2100,873.9566666666667,1361
29,300,103.03666666666666,1326
29,750,162.17333333333335,1281
29,1200,352.95,1350
29,1650,608.5233333333333,1315
29,2100,837.48,1314
