run,evaluations,avg_fitness,best_fitness
0,300,14.706666666666667,96
0,750,20.26,123
0,1200,37.21333333333333,183
0,1650,43.03666666666667,193
0,2100,48.473333333333336,153
1,300,13.486666666666666,96
1,750,21.13,142
1,1200,35.233333333333334,154
1,1650,42.526666666666664,123
1,2100,50.27333333333333,191
2,300,15.493333333333334,115
2,750,25.376666666666665,119
2,1200,40.47,159
2,1650,47.88,159
2,2100,50.41,170
3,300,15.896666666666667,106
3,750,22.11,139
3,1200,40.75333333333333,183
3,1650,49.806666666666665,172
3,2100,55.85666666666667,194
4,300,15.333333333333334,140
4,750,20.533333333333335,86
4,1200,34.266666666666666,136
4,1650,47.656666666666666,136
4,2100,50.87,139
5,300,15.353333333333333,113
5,750,18.816666666666666,116
5,1200,32.89666666666667,110
5,1650,42.39,166
5,2100,43.28333333333333,146
6,300,15.183333333333334,152
6,750,23.163333333333334,148
6,1200,36.54,177
6,1650,46.21,189
6,2100,48.3,210
7,300,13.886666666666667,90
7,750,19.463333333333335,110
7,1200,31.696666666666665,113
7,1650,43.75,130
7,2100,49.92666666666667,180
8,300,12.86,157
8,750,19.543333333333333,103
8,1200,38.986666666666665,140
8,1650,53.626666666666665,188
8,2100,57.016666666666666,168
9,300,15.956666666666667,128
9,750,20.99,172
9,1200,33.843333333333334,131
9,1650,47.00333333333333,168
9,2100,51.946666666666665,150
10,300,16.84,113
10,750,21.876666666666665,100
10,1200,33.16,171
10,1650,41.78666666666667,153
10,2100,50.846666666666664,165
11,300,13.34,131
11,750,18.663333333333334,96
11,1200,32.53,140
11,1650,45.836666666666666,162
11,2100,51.79333333333334,159
12,300,15.12,113
12,750,22.016666666666666,161
12,1200,37.36333333333334,155
12,1650,47.85666666666667,157
12,2100,49.43333333333333,193
13,300,15.27,163
13,750,20.786666666666665,116
13,1200,35.22666666666667,174
13,1650,46.236666666666665,156
13,2100,49.76,179
14,300,13.366666666666667,123
14,750,19.513333333333332,145
14,1200,35.86,137
14,1650,48.22,156
14,2100,49.276666666666664,172
15,300,13.696666666666667,103
15,750,20.196666666666665,103
15,1200,35.593333333333334,136
15,1650,42.303333333333335,146
15,2100,41.35666666666667,142
16,300,17.336666666666666,163
16,750,24.35,130
16,1200,39.513333333333335,136
16,1650,46.946666666666665,146
16,2100,47.013333333333335,173
17,300,17.166666666666668,169
17,750,22.17,126
17,1200,37.89666666666667,168
17,1650,51.93666666666667,193
17,2100,59.04333333333334,174
18,300,13.436666666666667,103
18,750,21.616666666666667,152
18,1200,37.45666666666666,167
18,1650,44.806666666666665,131
18,2100,52.52,159
19,300,14.33,158
19,750,22.933333333333334,125
19,1200,37.28666666666667,164
19,1650,47.29666666666667,185
19,2100,52.29,173
20,300,16.88,124
20,750,22.44333333333333,113
20,1200,32.946666666666665,152
20,1650,45.74666666666667,138
20,2100,49.31333333333333,183
21,300,15.233333333333333,140
21,750,21.163333333333334,153
21,1200,35.77333333333333,164
21,1650,45.79,192
21,2100,54.096666666666664,181
22,300,12.576666666666666,149
22,750,18.446666666666665,162
22,1200,32.58,150
22,1650,48.35333333333333,175
22,2100,55.42,196
23,300,13.996666666666666,143
23,750,25.46,147
23,1200,43.15,171
23,1650,58.49333333333333,165
23,2100,61.71,165
24,300,16.156666666666666,135
24,750,23.743333333333332,130
24,1200,36.79,135
24,1650,53.60333333333333,154
24,2100,52.596666666666664,141
25,300,16.176666666666666,162
25,750,25.033333333333335,157
25,1200,40.22666666666667,136
25,1650,51.37,160
25,2100,55.95666666666666,176
26,300,16.30666666666667,137
26,750,21.086666666666666,113
26,1200,37.27333333333333,161
26,1650,50.65,159
26,2100,59.83,177
27,300,13.183333333333334,100
27,750,19.23,103
27,1200,36.18,174
27,1650,47.153333333333336,160
27,2100,48.21,160
28,300,15.95,172
28,750,23.25,116
28,1200,39.29666666666667,158
28,1650,51.223333333333336,157
28,2100,52.596666666666664,164
29,300,15.386666666666667,106
29,750,20.926666666666666,137
29,1200,33.22,154
29,1650,44.54666666666667,234
29,2100,48.86666666666667,184
